order_id,payment_sequential,payment_type,payment_installments,payment_value
b81ef226f3fe1789b1e8b2acac839d17,1,credit_card,8,99.33
a9810da82917af2d9aefd1278f1dcfa0,1,credit_card,1,24.39
25e8ea4e93396b6fa0d3dd708e76c1bd,1,credit_card,1,65.71
ba78997921bbcdc1373bb41e913ab953,1,credit_card,8,107.78
42fdf880ba16b47b59251dd489d4441a,1,credit_card,2,128.45
298fcdf1f73eb413e4d26d01b25bc1cd,1,credit_card,2,96.12
771ee386b001f06208a7419e4fc1bbd7,1,credit_card,1,81.16
3d7239c394a212faae122962df514ac7,1,credit_card,3,51.84
1f78449c87a54faf9e96e88ba1491fa9,1,credit_card,6,341.09
0573b5e23cbd798006520e1d5b4c6714,1,boleto,1,51.95
d88e0d5fa41661ce03cf6cf336527646,1,credit_card,8,188.73
2480f727e869fdeb397244a21b721b67,1,credit_card,1,141.9
616105c9352a9668c38303ad44e056cd,1,credit_card,1,75.78
cf95215a722f3ebf29e6bbab87a29e61,1,credit_card,5,102.66
769214176682788a92801d8907fa1b40,1,credit_card,4,105.28
12e5cfe0e4716b59afb0e0f4a3bd6570,1,credit_card,10,157.45
61059985a6fc0ad64e95d9944caacdad,1,credit_card,1,132.04
79da3f5fe31ad1e454f06f95dc032ad5,1,credit_card,1,98.94
8ac09207f415d55acff302df7d6a895c,1,credit_card,4,244.15
b2349a3f20dfbeef62e7b31baa22f84b,1,credit_card,3,136.71
5a1f6d22f7dfb061ef29216b9af687a1,1,credit_card,4,47.69
4214cda550ece8ee66441f459dc33a8c,1,credit_card,2,170.57
adfbf6c2a620196f9a3ec747491c72b7,1,credit_card,4,67.5
4d680edbaa7d3d9bed69532957368a03,1,credit_card,10,353.09
8cd68144cdb62dc0d60848cf8616d2a4,1,boleto,1,330.66
5cfd514482e22bc992e7693f0e3e8df7,2,voucher,1,45.17
d0a945f85ba1074b60aac97ade7e240e,1,credit_card,2,541
c39414c195d0f94c9d9c35e7c6ed4f1a,1,credit_card,2,139.22
5d9c5817e278892b7498d90bfa28ade8,1,credit_card,2,290.16
b69b9260e79a0da00e15f48de1bd2524,1,boleto,1,283.34
f45074ae38f2e01d9b854ec8d40362ff,1,credit_card,1,13.78
81cedc4d2132eb6f512354166e51b187,1,credit_card,1,30.28
595f598849d89203c28d05d0fbf3f92e,1,credit_card,1,26.58
f9d0ec2fa088ac583e1ccd15b6686073,1,credit_card,1,89.68
e647bf617de735448a4ba54f8910393c,1,credit_card,1,65.09
b2bb080b6bc860118a246fd9b6fad6da,1,credit_card,1,173.84
23f10f509600c30cf2852f9dbdf28fc3,1,credit_card,1,103.49
f86f6472fa9f395d8d9a6751ca118afb,1,credit_card,1,64.03
1dcf0c8cd36ffaf57784fbdc90079310,1,credit_card,3,157.15
00d8d65b666158b633f96054d31af43b,1,boleto,1,130.88
cf30fe76d1505192acee1c6dccb15545,1,credit_card,2,47.72
d3e774a185c0b1b2286ffd6c70abe2e6,1,credit_card,8,117.74
32b1d8f3789a57f1f752e20ac7404b4c,1,boleto,1,56.6
c10d412026c4077b8e83acf0fea04eee,1,credit_card,1,266.16
56c3277583e16009c925fdf116df420f,1,boleto,1,31.38
0e0441786430b7cfcd0d91f822ea4c99,1,credit_card,1,121.49
6ffb3f1686bceae3466facf7e02ce3fb,1,credit_card,1,32
afef48d3c8a0b1b7c9b7f8f922fb5674,1,credit_card,5,153.41
c0db7d31ace61fc360a3eaa34dd3457c,1,credit_card,5,65.71
d574338f566ca28dd67820f48ec1f1d8,1,credit_card,4,278.22
1807cc736321f14baa58ef39cf6e5989,1,credit_card,4,91.66
e8977f709bbb0367f51b589e6325f991,1,credit_card,1,132.51
2e2c60b99754ae1e4d8b18846cfec9f2,1,credit_card,4,542.66
1ffb3c1929b16d9c1aec1958e11b3e9b,1,boleto,1,166.04
95442deb81a5d91c97c0df96b431634a,1,boleto,1,368.98
10af96a0689260134307879127ac1952,1,credit_card,2,113.2
85eef2d342b0de363c45c1bc324729c5,1,credit_card,3,99.43
aa964845f1de8125410aea8b73e9e1ec,1,credit_card,2,27.35
343348b1e29e9fa9e7b6ab1027f9177d,1,credit_card,4,43.77
ad4098a257676ea4d394fb3bbbf36ca3,1,credit_card,2,68.49
3e0c3cab458e8b3cc8d1d38ecb7e7775,1,credit_card,2,105.53
3ab4eea6776259ae8dfbabaeffece352,1,credit_card,8,387.8
10d9871bed9fb8d0887d3b9022edd1ff,1,boleto,1,84.14
c108072ab31ec90a754129c171577f5f,1,credit_card,4,210.82
fc662bafa52d2ef16078f6f6141009d6,1,boleto,1,90.05
4217849b1ff18a9270fe048eabc4dc45,1,credit_card,1,67.88
795c16acb4e3c30dfa5b6827727ef488,1,credit_card,2,37.58
55e2d723733c45033e71cb4d44690234,1,boleto,1,89.63
947e9c6bfd83a06953c420ef92d3da6e,1,voucher,1,69.46
60e43c5f5ba559d9dd19357ed72cb2f2,1,credit_card,2,78.3
e3e9e3295f4e1512167c232a0aaae8a5,1,voucher,1,50.8
460d57443ffdcaeba240360239747cf7,1,credit_card,1,34
4cb51127f19f7254b320efe1718477dd,1,boleto,1,77.1
110d9355d6338eab0a65a0cacdde5434,1,credit_card,5,566.4
42f5954cda381bd032934ee38c453711,1,credit_card,8,402.42
3689194c14ad4e2e7361ebd1df0e77b0,2,voucher,1,57.53
97c111c4f22dfa1089a9c0b5338dcc79,1,credit_card,3,44.01
4b2d035932915aa9c2a0d4d84cd6d3b0,1,credit_card,3,187.51
e1b4ee0e390fbac1dec439d72b45a115,1,credit_card,3,77.7
fee72a68ce935ebf2939fe72f27d3d9b,1,credit_card,1,48.68
4d3bfdf4c7d6578ea445d588371ae10e,1,credit_card,1,77.29
4c2e1a95586c815795a324d1599e7b5a,1,credit_card,8,117.71
c9f23db8a1cb725df9bdb3383bd72b38,1,credit_card,3,169.34
8e47a04b25d7a7075064e8e0bd2e0318,1,credit_card,1,37.61
723e462ce1ee50e024887c0b403130f3,1,credit_card,1,13.8
fa2ea4b6e84c1c0fc4f3a6d468c55183,1,debit_card,1,227.12
fb1a2a1296f822405a946cbdfc0d3ed6,1,credit_card,3,34.78
198298d54f269d8c5fe89e85a859af61,1,credit_card,10,342.56
b19ca559688b49e8cf7f88c1aa3f0009,1,credit_card,7,73.34
5be8d4719fe2e3669e2d07dddf3b6b0c,1,credit_card,4,117.85
4a02e985c7239d866a632f07ed20d9c0,1,credit_card,1,48.62
3e17eef8a8bd0131c7aed90d7508799e,1,credit_card,1,53.99
f8d323a2702fed37f0229965f7e9f8b3,1,credit_card,1,51.14
de4090fd9b7900d46323b0c7c36b7128,1,credit_card,2,121.45
17e5131fe1d4b1a8dc14d4a66914f9d7,1,credit_card,1,73.34
20f136d890c31a62486c809f91a5b098,1,credit_card,10,117.68
557cc2675910c4a6c9b54ad276f25097,1,credit_card,1,56.77
d60a89ab9bc1e68834465ae630c3343e,1,credit_card,2,115.59
3ba2d0012b1f34bc6ccbc31c4ba69f93,1,credit_card,6,60.07
d46f45b0d795bcf47a19d301710e63fe,1,credit_card,1,27.27
96de2b7f7f3c401fbee3eef068376da6,1,boleto,1,32.15
f9d5bfb53147f381e81b89a848e26b16,1,credit_card,3,195.71
21b8b46679ea6482cbf911d960490048,2,voucher,1,43.12
e6670c9089973cc68e5b90b7d1f4fec4,1,credit_card,1,88.49
85a4fbdba48c815924115fb82330071c,1,credit_card,3,34.09
35525be13c4af8acae0bb6d13c27110d,1,credit_card,1,40.99
46ee6eaca194413758f200a6974b7e4d,1,credit_card,3,71.99
f49cd89d6dad6dd5759ecf15dfe4bb19,1,boleto,1,47
9acd1ccfbc6445c0cad9ee9ddb48054c,1,credit_card,3,81.78
83f24bbc4f76a2730ba9c9cfa32e6d07,1,credit_card,3,231.45
0b65284a1a74114ea029b7676fdc1ba3,1,credit_card,7,144.2
cf61ad2218e5c14397e7c0ba7a6a50f9,1,debit_card,1,35.14
243312dbb316253ab77bb0140d94803c,1,credit_card,10,285.79
8973a53fcad22a79e0ff315e7f9a0fd9,1,credit_card,2,176.7
f090de1b2ed9f4e251662cb31e3c7127,1,credit_card,2,27.63
2ccde1e4676c20b9444e2bcbed36334c,1,credit_card,8,134.56
0f4b5614da144989e2acc5291af24357,1,credit_card,4,96.98
1d92d2ce1ae2e0510b5ce50c5be578c6,1,credit_card,2,110.03
a490a5d59a9bf4ef3334bfd7cf1dbdfc,1,credit_card,1,17.78
60ead11db6b36221fe1424e330883a9a,1,credit_card,1,44
c51dcdd98e1c413f3d394ffcb4656ed1,1,credit_card,4,110.11
ea9184ad433a404df1d72fa0a8764232,4,voucher,1,22.49
8f936fb77c720ab9ccd618af38c885cc,1,credit_card,4,46.63
0fba53cb4e9429e38cd2750c32fa24a5,1,boleto,1,52.21
cdaa116d3c2521b4b6976043508d0943,1,credit_card,2,61.77
68d7420c86be23f313c81a554320f986,1,boleto,1,121.88
a5f860aaf6a3c35399495aefe92d363f,1,credit_card,1,75.75
f51e3c7f79d1e2c076acbb6af1588b95,1,credit_card,1,130.22
9184724aacd6a7da5bcf4c08c2c674a8,1,credit_card,3,57.53
8bdc559b124e47eb71b5d1be8d6675e4,1,credit_card,7,76.02
49d3db2a02106c24d6ef800bd8ad5546,1,boleto,1,90.17
c604ad5f1e0d0bcf9977cf46d1d72303,1,credit_card,1,31
859980aae511377b7230f72d90bfc580,1,credit_card,10,106.77
e2cd740333fe4585ead5c50c61edb6a5,1,voucher,1,163.25
55779fa8fe072d9f8c92d672154558f2,1,boleto,1,233.66
99bc267f49d76932cd195bfb2a94dd03,1,credit_card,1,163.08
0c99132c4ff916416ba8f74c378f1cbc,1,credit_card,4,135.93
66a4fa2d40fed98c34ced62496fdb1e7,1,credit_card,1,267.05
db43c1a570e28fe9da60a444e3616a2b,1,credit_card,7,186.72
82ffe097d8ddbf319a523b9bbe7725d5,2,voucher,1,30
f75666bf6c9e09f6b3f4bcd797b57a3c,1,credit_card,4,97.28
